Designator,Mid X,Mid Y,Rotation,Layer
U14,320.6925,-308.12,270.0,top
U15,297.9,-246.8,90.0,top
U17,307.781646,-281.879,180.0,top
U18,301.0575,-307.175,180.0,top
U19,297.9,-262.2,90.0,top
U2,369.895,-266.08,180.0,top
U20,453.17,-305.5,180.0,top
U21,326.27,-249.9,180.0,top
U22,430.92,-294.9,270.0,top
U24,454.79,-276.01,0.0,top
U27,444.94,-239.8035,270.0,top
U28,393.35,-267.965,90.0,top
U29,467.17,-265.4575,0.0,top
U3,419.72,-303.01,270.0,top
U30,466.0,-257.9,270.0,top
U32,404.2,-261.4,180.0,top
U4,418.9605,-295.173,180.0,top
U5,311.1,-224.58,180.0,top
U6,345.11,-265.84,270.0,top
U7,311.1,-228.745,180.0,top
U8,453.17,-295.2,0.0,top
U9,453.17,-298.59,0.0,top
Y1,358.5,-239.0,180.0,top
Y2,433.073333,-239.6035,180.0,top
